ecosystem,name,licenses
go,golang.org/x/text,BSD-3-Clause
go,golang.org/x/net,BSD-3-Clause
go,golang.org/x/crypto,BSD-3-Clause
docker,grafana/grafana,
rubygems,aws-partitions,Apache-2.0
docker,jenkins/jenkins,
rubygems,rake,MIT
cpan,perl,perl_5
rubygems,bundler,MIT
docker,prom/prometheus,
rubygems,rack,MIT
maven,commons-io:commons-io,Apache-2.0
maven,org.apache.commons:commons-lang3,Apache-2.0
docker,containrrr/watchtower,
go,golang.org/x/sync,BSD-3-Clause
alpine,qt5-qtbase-x11,LGPL-2.1-only AND LGPL-3.0-only AND GPL-3.0-only AND Qt-GPL-exception-1.0
rubygems,json,Ruby
docker,minio/minio,
docker,bitnami/postgresql,
go,golang.org/x/oauth2,BSD-3-Clause
docker,bitnami/redis,
docker,prom/node-exporter,
rubygems,minitest,MIT
alpine,libstdc++,GPL-2.0-or-later LGPL-2.1-or-later
rubygems,rspec-expectations,MIT
alpine,libstdc++,GPL-2.0-or-later LGPL-2.1-or-later
docker,google/cadvisor,
rubygems,rspec-core,MIT
alpine,libstdc++,GPL-2.0-or-later LGPL-2.1-or-later
docker,apache/airflow,
alpine,libgcc,GPL-2.0-or-later LGPL-2.1-or-later
docker,envoyproxy/envoy,
alpine,boost-python3,custom
rubygems,rspec-support,MIT
docker,portainer/portainer,
go,golang.org/x/term,BSD-3-Clause
go,golang.org/x/time,BSD-3-Clause
alpine,qt5-qtbase,LGPL-2.1-only AND LGPL-3.0-only AND GPL-3.0-only AND Qt-GPL-exception-1.0
alpine,libstdc++,GPL-2.0-or-later LGPL-2.1-or-later
rubygems,concurrent-ruby,MIT
docker,jaegertracing/all-in-one,
docker,nginxinc/nginx-unprivileged,
docker,phpmyadmin/phpmyadmin,
rubygems,thor,MIT
rubygems,i18n,MIT
docker,curlimages/curl,
alpine,libstdc++,GPL LGPL
rubygems,diff-lcs,"MIT,Artistic-1.0-Perl,GPL-2.0-or-later"
docker,dpage/pgadmin4,
docker,grafana/loki,
alpine,libstdc++,GPL LGPL
docker,portainer/portainer-ce,
docker,atmoz/sftp,
bower,bootstrap,
rubygems,aws-sdk-kms,Apache-2.0
docker,prom/alertmanager,
alpine,libcrypto1.1,OpenSSL
docker,mailhog/mailhog,
openvsx,ms-python/debugpy,MIT
docker,google/cloud-sdk,
docker,selenium/standalone-chrome,
rubygems,mime-types,MIT
alpine,glib,GPL
rubygems,rspec-mocks,MIT
docker,jwilder/nginx-proxy,
rubygems,tzinfo,MIT
docker,bitnami/mongodb,
alpine,libgcc,GPL LGPL
alpine,postgresql14-plpython3,PostgreSQL
docker,gitlab/gitlab-runner,
docker,cockroachdb/cockroach,
docker,circleci/node,
go,golang.org/x/xerrors,BSD-3-Clause
alpine,glib,LGPL-2.1-or-later
alpine,libcrypto3,Apache-2.0
alpine,libstdc++,GPL LGPL
docker,bitnami/minideb,
docker,confluentinc/cp-kafka,
docker,certbot/certbot,
alpine,libgcc,GPL LGPL
alpine,postgresql14-plpython3,PostgreSQL
docker,pihole/pihole,
docker,hasura/graphql-engine,
npm,react-is,MIT
docker,amazon/aws-cli,
rubygems,rspec,MIT
docker,bitnami/kafka,
docker,bitnami/zookeeper,
docker,selenium/node-chrome,
alpine,libstdc++,GPL-2.0-or-later LGPL-2.1-or-later
adelie,libstdc++,GPL-3.0+ AND LGPL-2.1+
docker,alpine/git,
rubygems,public_suffix,MIT
docker,amazon/dynamodb-local,
rubygems,ffi,BSD-3-Clause
rubygems,aws-sdk-core,Apache-2.0
docker,jrcs/letsencrypt-nginx-proxy-companion,
spack,py-pip,[]
rubygems,aws-sigv4,Apache-2.0
alpine,libgcc,GPL-2.0-or-later LGPL-2.1-or-later
rubygems,parser,MIT
maven,commons-logging:commons-logging,"Apache-2.0,Apache-2.0"
rubygems,jwt,MIT
maven,commons-lang:commons-lang,"Apache-2.0,Apache-2.0"
alpine,libprotobuf,BSD-3-Clause
alpine,libprotoc,BSD-3-Clause
alpine,protobuf,BSD-3-Clause
alpine,ruby-google-protobuf,BSD-3-Clause
alpine,protobuf-vim,BSD-3-Clause
alpine,libprotobuf-lite,BSD-3-Clause
alpine,py3-protobuf,BSD-3-Clause
alpine,protoc,BSD-3-Clause
alpine,protobuf-dev,BSD-3-Clause
alpine,py3-protobuf-pyc,BSD-3-Clause
docker,gitlab/gitlab-ce,
cpan,Carp,perl_5
rubygems,addressable,Apache-2.0
alpine,kwidgetsaddons,GPL-2.0-only AND LGPL-2.1-only AND Unicode-DFS-2016
alpine,qt5-qtbase,LGPL-2.1-only AND LGPL-3.0-only AND GPL-3.0-only AND Qt-GPL-exception-1.0
docker,confluentinc/cp-zookeeper,
rubygems,parallel,MIT
rubygems,aws-eventstream,Apache-2.0
pypi,beautifulsoup4,MIT License
docker,selenium/hub,
docker,datadog/agent,
alpine,libstdc++,GPL LGPL
alpine,libgcc,GPL-2.0-or-later LGPL-2.1-or-later
docker,gitea/gitea,
docker,wurstmeister/kafka,
alpine,libgcc,GPL LGPL
rubygems,mail,MIT
packagist,guzzlehttp/guzzle,MIT
pypi,protobuf,3-Clause BSD License
alpine,libgcc,GPL-2.0-or-later LGPL-2.1-or-later
alpine,zlib,Zlib
docker,grafana/promtail,
rubygems,rexml,BSD-2-Clause
docker,metabase/metabase,
docker,library/postgres,
rubygems,ast,MIT
deno,fathym_synaptic,
deno,oi_lume_viz,
docker,mysql/mysql-server,
docker,postgis/postgis,
docker,localstack/localstack,
rubygems,loofah,MIT
docker,bkimminich/juice-shop,
alpine,glib,LGPL-2.1-or-later
docker,openzipkin/zipkin,
go,golang.org/x/exp,BSD-3-Clause
alpine,libgcc,GPL LGPL
rubygems,unicode-display_width,MIT
alpine,kcoreaddons,LGPL-2.0-or-later AND (LGPL-2.1-only OR LGPL-3.0-only)
docker,confluentinc/cp-schema-registry,
rubygems,ruby-progressbar,MIT
pypi,tqdm,MPL-2.0 AND MIT
docker,n8nio/n8n,
alpine,qt5-qtbase-x11,LGPL-2.1-only AND LGPL-3.0-only AND GPL-3.0-only AND Qt-GPL-exception-1.0
docker,bitnami/mariadb,
docker,netdata/netdata,
alpine,libstdc++,GPL LGPL
rubygems,rails-html-sanitizer,MIT
openvsx,ms-toolsai/jupyter,MIT
alpine,libstdc++,GPL LGPL
rubygems,aws-sdk-s3,Apache-2.0
docker,homeassistant/home-assistant,
alpine,libstdc++,GPL-2.0-or-later LGPL-2.1-or-later
docker,selenium/standalone-chrome-debug,
maven,com.google.code.findbugs:jsr305,"The Apache Software License, Version 2.0"
alpine,libstdc++,GPL LGPL
docker,library/redis,
alpine,boost1.80-python3,BSL-1.0
rubygems,domain_name,"BSD-2-Clause,BSD-3-Clause,MPL-2.0"
packagist,monolog/monolog,MIT
docker,gliderlabs/logspout,
rubygems,faraday-net_http,MIT
alpine,qt5-qtbase,LGPL-2.1-only AND LGPL-3.0-only AND GPL-3.0-only AND Qt-GPL-exception-1.0
alpine,kio,LGPL-2.1-only AND LGPL-2.1-or-later AND (LGPL-2.1-only OR LGPL-3.0-only)
alpine,libgcc,GPL-2.0-or-later LGPL-2.1-or-later
docker,itzg/minecraft-server,
alpine,glib,GPL
rubygems,mini_portile2,MIT
rubygems,activesupport,MIT
npm,react,MIT
docker,nvidia/cuda,
rubygems,racc,"Ruby,BSD-2-Clause"
rubygems,nio4r,"MIT,BSD-2-Clause"
packagist,phpunit/phpunit,BSD-3-Clause
docker,drone/drone,
docker,sonatype/nexus3,
docker,linuxserver/radarr,
npm,react-dom,MIT
alpine,glib,GPL
alpine,libx11,custom:XFREE86
docker,jupyter/scipy-notebook,
pypi,docutils,"BSD License,GNU General Public License (GPL),Public Domain"
go,golang.org/x/mod,BSD-3-Clause
rubygems,globalid,MIT
docker,nodered/node-red,
docker,bitnami/nginx,
maven,commons-collections:commons-collections,""
docker,adoptopenjdk/openjdk11,
rubygems,pry,MIT
docker,selenium/standalone-firefox,
cocoapods,AFNetworking,MIT
packagist,laravel/framework,MIT
docker,plexinc/pms-docker,
rubygems,rainbow,MIT
alpine,libgcc,GPL LGPL
docker,circleci/python,
alpine,glib,LGPL-2.1-or-later
adelie,perl-dev,Artistic-1.0-Perl OR GPL-1.0+
docker,library/node,
docker,osixia/openldap,
docker,rocketchat/rocket.chat,
go,github.com/docker/docker,Apache-2.0
alpine,libssl3,Apache-2.0
rubygems,rubocop,MIT
docker,mhart/alpine-node,
rubygems,unf_ext,MIT
docker,browserless/chrome,
rubygems,jmespath,Apache-2.0
alpine,zlib,Zlib
docker,library/mysql,
npm,text-table,MIT
docker,portainer/agent,
alpine,libcrypto1.1,OpenSSL
docker,mdillon/postgis,
rubygems,multi_xml,MIT
alpine,glib,GPL
go,golang.org/x/tools,BSD-3-Clause
rubygems,sprockets-rails,MIT
alpine,kcoreaddons,LGPL-2.0-or-later AND (LGPL-2.1-only OR LGPL-3.0-only)
docker,tensorflow/tensorflow,
docker,selenium/node-firefox,
docker,minio/mc,
docker,abiosoft/caddy,
rubygems,puma,BSD-3-Clause
docker,library/ubuntu,
cpan,Exporter,perl_5
rubygems,faraday,MIT
docker,linuxserver/jackett,
rubygems,activerecord,MIT
docker,prom/pushgateway,
rubygems,netrc,MIT
alpine,qt5-qtbase,LGPL-2.0 with exceptions or GPL-3.0 with exceptions
rubygems,multi_json,MIT
docker,prom/blackbox-exporter,
openvsx,GitHub/vscode-pull-request-github,MIT
docker,v2tec/watchtower,
maven,commons-beanutils:commons-beanutils,Apache-2.0
alpine,php82-common,PHP-3.01 BSD-3-Clause LGPL-2.0-or-later MIT Zend-2.0
alpine,libintl,LGPL-2.1-or-later
rubygems,regexp_parser,MIT
alpine,libgcc,GPL LGPL
docker,provectuslabs/kafka-ui,
alpine,libgcc,GPL-2.0-or-later LGPL-2.1-or-later
actions,actions/setup-node,mit
docker,confluentinc/cp-kafka-rest,
docker,gogs/gogs,
maven,commons-cli:commons-cli,Apache-2.0
rubygems,dotenv,MIT
docker,swaggerapi/swagger-ui,
docker,coredns/coredns,
npm,eslint-plugin-react-hooks,MIT
docker,library/python,
alpine,zlib,zlib
docker,onlyoffice/documentserver,
alpine,libcrypto1.1,OpenSSL
alpine,zlib,zlib
docker,lambci/lambda,
alpine,glib,LGPL-2.1-or-later
docker,prismagraphql/prisma,
docker,obsidiandynamics/kafdrop,
docker,gliderlabs/registrator,
docker,ipfs/go-ipfs,
alpine,libintl,GPL
actions,actions/cache,mit
rubygems,mini_mime,MIT
docker,bitnami/etcd,
docker,jrottenberg/ffmpeg,
docker,jaegertracing/jaeger-query,
alpine,frp-openrc,Apache-2.0
alpine,frp,Apache-2.0
docker,linuxserver/mariadb,
docker,yandex/clickhouse-server,
docker,rasa/rasa,
alpine,libintl,LGPL-2.1-or-later
alpine,kconfigwidgets,LGPL-2.1-only AND LGPL-2.1-or-later
alpine,kcompletion,LGPL-2.1-or-later
alpine,glib,LGPL-2.1-or-later
alpine,libgcc,GPL LGPL
rubygems,rb-fsevent,MIT
alpine,glib,LGPL-2.1-or-later
docker,adguard/adguardhome,
docker,linuxserver/transmission,
docker,pyouroboros/ouroboros,
rubygems,rb-inotify,MIT
docker,atlassian/confluence-server,
docker,jenkins/inbound-agent,
docker,cypress/included,
docker,rancher/rancher,
maven,org.yaml:snakeyaml,"Apache License, Version 2.0"
alpine,zlib,zlib
alpine,ki18n,LGPL-2.0-or-later AND (LGPL-2.1-only OR LGPL-3.0-or-later)
rubygems,faraday_middleware,MIT
docker,openresty/openresty,
rubygems,rubocop-ast,MIT
rubygems,nokogiri,MIT
docker,richarvey/nginx-php-fpm,
docker,jaegertracing/jaeger-agent,
docker,jwilder/docker-gen,
docker,datalust/seq,
rubygems,ruby2_keywords,"Ruby,BSD-2-Clause"
alpine,libx11,custom:XFREE86
rubygems,os,MIT
docker,timescale/timescaledb,
alpine,glib,LGPL-2.1-or-later
docker,shopify/toxiproxy,
docker,library/nginx,
alpine,postgresql13-plpython3-contrib,PostgreSQL
docker,schickling/mailcatcher,
rubygems,docile,MIT
docker,bitnami/kubectl,
alpine,qt5-qtdeclarative,LGPL-2.1-only AND LGPL-3.0-only AND GPL-3.0-only AND Qt-GPL-exception-1.0
adelie,qt5-qtbase,LGPL-3.0-only WITH Qt-LGPL-exception-1.1 OR GPL-3.0-only WITH Qt-GPL-exception-1.0
rubygems,aws-sdk,Apache-2.0
docker,bitnami/cassandra,
packagist,nikic/php-parser,BSD-3-Clause
alpine,libgcc,GPL LGPL
alpine,zlib,Zlib
docker,tensorflow/serving,
openvsx,ms-toolsai/jupyter-renderers,MIT
packagist,fzaninotto/faker,MIT
docker,ethereum/client-go,
packagist,nesbot/carbon,MIT
rubygems,rspec-rails,MIT
alpine,zlib,zlib
docker,dockersamples/visualizer,
docker,hyperledger/fabric-peer,
alpine,scrcpy-doc,Apache-2.0
alpine,scrcpy,Apache-2.0
alpine,scrcpy-zsh-completion,Apache-2.0
alpine,scrcpy-bash-completion,Apache-2.0
docker,anapsix/alpine-java,
docker,nginxproxy/nginx-proxy,
rubygems,mime-types-data,MIT
docker,docker/whalesay,
alpine,kirigami-gallery,LGPL-2.0-or-later
npm,scheduler,MIT
alpine,zlib,Zlib
rubygems,method_source,MIT
rubygems,multipart-post,MIT
rubygems,listen,MIT
rubygems,builder,MIT
docker,vaultwarden/server,
maven,org.apache.commons:commons-compress,Apache-2.0
docker,fluent/fluentd,
docker,selenium/node-chrome-debug,
docker,continuumio/miniconda3,
rubygems,bigdecimal,"Ruby,BSD-2-Clause"
alpine,libcrypto1.1,OpenSSL
alpine,perl-dev,Artistic GPL2
docker,wurstmeister/zookeeper,
alpine,busybox,GPL-2.0-only
docker,library/mongo,
docker,titpetric/netdata,
docker,envoyproxy/envoy-alpine,
rubygems,http-cookie,MIT
docker,confluentinc/cp-kafka-connect,
alpine,perl-mailtools,GPL-1.0-or-later OR Artistic-1.0-Perl
docker,opensearchproject/opensearch,
pypi,scikit-learn,""
docker,apache/superset,
bower,jquery,
rubygems,excon,MIT
rubygems,retriable,MIT
maven,commons-fileupload:commons-fileupload,"Apache-2.0,Apache-2.0"
docker,hyperledger/fabric-orderer,
docker,library/alpine,
