ecosystem,total_packages,valid_spdx,invalid_or_missing,coverage_percent
actions,50,48,2,96.0
adelie,124,75,49,60.48
alpine,4083,3085,998,75.56
bioconductor,27,20,7,74.07
bower,170,60,110,35.29
cargo,123,56,67,45.53
carthage,15,9,6,60.0
clojars,8,4,4,50.0
cocoapods,463,432,31,93.3
conda,67,61,6,91.04
cpan,144,127,17,88.19
cran,6,2,4,33.33
deno,27,0,27,0.0
docker,10766,0,10766,0.0
elm,5,5,0,100.0
elpa,8,0,8,0.0
go,1916,1817,99,94.83
hackage,53,53,0,100.0
hex,50,32,18,64.0
homebrew,29,22,7,75.86
julia,31,31,0,100.0
maven,913,257,656,28.15
npm,9444,9064,380,95.98
nuget,255,78,177,30.59
openvsx,195,89,106,45.64
packagist,1933,1879,54,97.21
postmarketos,272,235,37,86.4
pub,189,0,189,0.0
puppet,45,45,0,100.0
pypi,1224,738,486,60.29
racket,37,0,37,0.0
rubygems,5530,4615,915,83.45
spack,124,0,124,0.0
swiftpm,18,9,9,50.0
vcpkg,5,5,0,100.0
