ecosystem,total_packages,valid_spdx,invalid_or_missing,coverage_percent
actions,500,455,45,91.0
adelie,500,292,208,58.4
alpine,500,348,152,69.6
bioconductor,500,344,156,68.8
bower,500,185,315,37.0
cargo,500,227,273,45.4
carthage,182,118,64,64.84
clojars,500,371,129,74.2
cocoapods,500,467,33,93.4
conda,500,472,28,94.4
cpan,500,436,64,87.2
cran,500,125,375,25.0
deno,500,0,500,0.0
docker,500,0,500,0.0
elm,180,180,0,100.0
elpa,121,0,121,0.0
go,500,462,38,92.4
hackage,500,499,1,99.8
hex,500,400,100,80.0
homebrew,500,432,68,86.4
julia,500,499,1,99.8
maven,500,148,352,29.6
npm,500,490,10,98.0
nuget,500,130,370,26.0
openvsx,500,301,199,60.2
packagist,500,491,9,98.2
postmarketos,500,441,59,88.2
pub,500,0,500,0.0
puppet,500,467,33,93.4
pypi,500,288,212,57.6
racket,500,0,500,0.0
rubygems,500,457,43,91.4
spack,500,0,500,0.0
swiftpm,457,295,162,64.55
vcpkg,152,110,42,72.37
